"HolderAddress","Balance","PendingBalanceUpdate"
"0x0fcffa5cd982201324668e4bcc8dff0a26541efb","672","No"
"0x10fa603c601aa5c44cd768d7ec980cb007f83fd0","3707","No"
"0x962a0ec511f00df29590ce0a121ce7fe9fcfc19b","644","No"
"0xf8f7008ec80fed2ea9a7c12a1db1b58a0e6029e3","70.0971","No"
"0xfe794dd11f862bcc3154c346dfb18b39328889e1","60","No"
"0xd77236452cffe405b997e633a07d33a85386ce69","44.6241594102506","No"
"0xf0d56da1c90dcb92a1d0b83310a5747a4e87e39e","65.7870112227545","No"
"0x2a3593651dcd415c3ba73a39d341385f0bb397cc","1419","No"
"0xd1910c6fa5dd8075f824f4b0058465d967cfee55","5","No"
"0xb2f043d69d444e13ce18b97af0fb9bb5b5ed04db","3012","No"
"0xa251e58544c8fac569e52f3bae38b83471bdc154","672","No"
